일시,요일,등록기관,철도구분,사고 종류,철도사고 종류,주원인,근본원인별 그룹,근본원인별 원인,근본원인별 상세,총피해명,사망,부상(중상),경상,총 피해액(백만원),노선,노선방향,발생장소,기상상태,온도,안개유무,연도,발생장소a,발생장소b
2016-12-31,토,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-차단기 돌파/우회,인적요인,공중,불법행위,2,0,2,0,0,경전선,하행선,조성,맑음,6,0,2016,조성,
2016-12-29,목,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,2,2,0,0,0,충북선,상행선,증평-내수,맑음,-7,0,2016,증평,내수
2016-12-28,수,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경원선,하행선,도봉,맑음,1,0,2016,도봉,
2016-12-27,화,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경부선,하행선,오산,맑음,1,0,2016,오산,
2016-12-25,일,KORAIL,도시철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,0,1,0,0,수도권도시철도 1호선,상행선,1지청량리-회기,맑음,-4,0,2016,1지청량리,회기
2016-12-23,금,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차등에서 넘어짐,기술적요인,차량/신호 I/F,기타,1,0,1,0,0,경인선,상행선,개봉,구름,-1,0,2016,개봉,
2016-12-08,목,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-비산/낙하물 충격,인적요인,공중,부주의/오류,1,0,1,0,0,경부선,하행선,동대구,구름,-0.3,0,2016,동대구,
2016-12-05,월,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경춘선,상행선,평내호평,구름,4,0,2016,평내호평,
2016-12-01,목,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,경북선,하행선,어등-예천,구름,6,0,2016,어등,예천
2016-11-22,화,KORAIL,도시철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,장항선,상행선,온양온천-배방,맑음,3,0,2016,온양온천,배방
2016-11-13,일,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,0,경원선,상행선,한탄강-초성리,구름,13,0,2016,한탄강,초성리
2016-11-12,토,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-선로근접통행,인적요인,여객,불법행위,1,1,0,0,0,경부선,상행선,물금,맑음,13,0,2016,물금,
2016-11-06,일,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,0,1,0,0,중앙선,상행선,경주,구름,11,0,2016,경주,
2016-11-04,금,KORAIL,도시철도,사고,안전사상사고-공중,공중(안전)-전기감전,인적요인,공중,부주의/오류,1,0,1,0,0,안산선,하행선,안산,구름,15,0,2016,안산,
2016-11-01,화,KORAIL,도시철도,사고,안전사상사고-여객,여객(안전)-승강장(역) 추락,인적요인,여객,부주의/오류,1,0,1,0,0,경의선,하행선,금촌,맑음,3.4,0,2016,금촌,
2016-10-16,일,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,일산선,상행선,대곡,구름,16,0,2016,대곡,
2016-10-04,화,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경인선,하행선,백운,구름,22,0,2016,백운,
2016-10-03,월,KORAIL,고속철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,0,1,0,0,경부선,하행선,영등포,맑음,24,0,2016,영등포,
2016-10-02,일,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경인선,상행선,온수,구름,18,0,2016,온수,
2016-09-29,목,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경의선,하행선,디지털미디어시티,구름,23,0,2016,디지털미디어시티,
2016-09-23,금,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,0,1,0,0,경부선,하행선,청도-상동,구름,29,0,2016,청도,상동
2016-09-23,금,KORAIL,일반철도,사고,안전사상사고-직원,직원(안전)전기감전,인적요인,작업자,부주의/오류,1,0,1,0,0,동해남부선,상행선,모량,맑음,15.4,0,2016,모량,
2016-09-18,일,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-선로근접통행,인적요인,여객,불법행위,1,1,0,0,0,경부선,상행선,명학,구름,23,0,2016,명학,
2016-09-13,화,KORAIL,고속철도,사고,교통사상사고-직원,직원(교통)-기타,인적요인,작업자,기타,2,2,0,0,0,경부고속선,상행선,김천구미-대전,구름,25,0,2016,김천구미,대전
2016-09-05,월,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0.4,호남선,상행선,가수원,구름,30,0,2016,가수원,
2016-09-04,일,KORAIL,일반철도,사고,안전사상사고-공중,공중(안전)-기타,인적요인,공중,불법행위,1,0,1,0,0,동해남부선,하행선,부전,구름,20,0,2016,부전,
2016-08-27,토,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-선로근접통행,인적요인,공중,부주의/오류,1,0,1,0,0,중앙선,상행선,덕소,맑음,25.4,0,2016,덕소,
2016-08-24,수,KORAIL,도시철도,사고,안전사상사고-여객,여객(안전)-승강장(역) 추락,인적요인,여객,부주의/오류,1,0,1,0,0,수인분당선(구.수인선),상행선,호구포,맑음,29,0,2016,호구포,
2016-08-20,토,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0.2,장항선,하행선,남포-웅천,맑음,27,0,2016,남포,웅천
2016-08-11,목,KORAIL,일반철도,사고,건널목사고,통행자(자동차)-차단기 돌파/우회,인적요인,공중,불법행위,0,0,0,0,0,기타선,하행선,진해,맑음,34,0,2016,진해,
2016-08-08,월,KORAIL,일반철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경부선,하행선,직산,맑음,34,0,2016,직산,
2016-08-07,일,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0.2,대구선,하행선,하양-청천,구름,26,0,2016,하양,청천
2016-07-31,일,KORAIL,일반철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0.5,경부선,상행선,수원-의왕,구름,27,0,2016,수원,의왕
2016-07-27,수,KORAIL,도시철도,사고,교통사상사고-공중,공중(교통)-열차에 뛰어듦(자살),인적요인,공중,자살,1,1,0,0,0,경부선,하행선,서정리,맑음,26.5,0,2016,서정리,
2016-07-25,월,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경의선,상행선,금촌,구름,30,0,2016,금촌,
2016-07-15,금,KORAIL,고속철도,사고,교통사상사고-공중,공중(교통)-선로무단통행,인적요인,공중,불법행위,1,1,0,0,3.5,호남선,상행선,목포-임성리,구름,24.7,0,2016,목포,임성리
2016-07-04,월,KORAIL,도시철도,사고,교통사상사고-여객,여객(교통)-열차에 뛰어듦(자살),인적요인,여객,자살,1,1,0,0,0,경부선,상행선,당정,비,21.6,0,2016,당정,
